election_round,election_label,election_date,province,municipality,municipality_key,electorate,votes,invalid_votes,abstentions,turnout_rate
6,제6회 전국동시지방선거,2014-06-04,경기도,안산시상록구,경기도 안산시상록구,299910,144770,4848,155140,48.27
6,제6회 전국동시지방선거,2014-06-04,경기도,안성시,경기도 안성시,144454,74600,3412,69854,51.64
6,제6회 전국동시지방선거,2014-06-04,경기도,안양시동안구,경기도 안양시동안구,280346,168487,3800,111859,60.1
6,제6회 전국동시지방선거,2014-06-04,경기도,안양시만안구,경기도 안양시만안구,205999,113522,2990,92477,55.11
6,제6회 전국동시지방선거,2014-06-04,경기도,양주시,경기도 양주시,155368,79267,2689,76101,51.02
6,제6회 전국동시지방선거,2014-06-04,경기도,양평군,경기도 양평군,87602,51827,2441,35775,59.16
6,제6회 전국동시지방선거,2014-06-04,경기도,여주시,경기도 여주시,89340,47027,1977,42313,52.64
6,제6회 전국동시지방선거,2014-06-04,경기도,연천군,경기도 연천군,38253,22624,1208,15629,59.14
6,제6회 전국동시지방선거,2014-06-04,경기도,오산시,경기도 오산시,155953,75406,2336,80547,48.35
6,제6회 전국동시지방선거,2014-06-04,경기도,용인시기흥구,경기도 용인시기흥구,321010,181644,3595,139366,56.59
6,제6회 전국동시지방선거,2014-06-04,경기도,용인시수지구,경기도 용인시수지구,231496,136238,2201,95258,58.85
6,제6회 전국동시지방선거,2014-06-04,경기도,용인시처인구,경기도 용인시처인구,170458,83925,2831,86533,49.24
6,제6회 전국동시지방선거,2014-06-04,경기도,의왕시,경기도 의왕시,127246,76051,1728,51195,59.77
6,제6회 전국동시지방선거,2014-06-04,경기도,의정부시,경기도 의정부시,345708,171491,4761,174217,49.61
6,제6회 전국동시지방선거,2014-06-04,경기도,이천시,경기도 이천시,159733,82477,3986,77256,51.63
6,제6회 전국동시지방선거,2014-06-04,경기도,파주시,경기도 파주시,313844,162765,6422,151079,51.86
6,제6회 전국동시지방선거,2014-06-04,경기도,평택시,경기도 평택시,347609,171360,6066,176249,49.3
6,제6회 전국동시지방선거,2014-06-04,경기도,포천시,경기도 포천시,127417,64915,3294,62502,50.95
6,제6회 전국동시지방선거,2014-06-04,경기도,하남시,경기도 하남시,118266,65360,1993,52906,55.27
6,제6회 전국동시지방선거,2014-06-04,경기도,화성시,경기도 화성시,395351,201710,6583,193641,51.02
6,제6회 전국동시지방선거,2014-06-04,경상남도,거제시,경상남도 거제시,184572,99983,2438,84589,54.17
6,제6회 전국동시지방선거,2014-06-04,경상남도,거창군,경상남도 거창군,52077,36296,1600,15781,69.7
6,제6회 전국동시지방선거,2014-06-04,경상남도,고성군,경상남도 고성군,47887,32026,1145,15861,66.88
6,제6회 전국동시지방선거,2014-06-04,경상남도,김해시,경상남도 김해시,398293,215277,3105,183016,54.05
6,제6회 전국동시지방선거,2014-06-04,경상남도,남해군,경상남도 남해군,41331,31268,1557,10063,75.65
6,제6회 전국동시지방선거,2014-06-04,경상남도,밀양시,경상남도 밀양시,91584,57972,1787,33612,63.3
6,제6회 전국동시지방선거,2014-06-04,경상남도,사천시,경상남도 사천시,94250,63316,2031,30934,67.18
6,제6회 전국동시지방선거,2014-06-04,경상남도,산청군,경상남도 산청군,31442,21553,863,9889,68.55
6,제6회 전국동시지방선거,2014-06-04,경상남도,양산시,경상남도 양산시,222151,119878,2236,102273,53.96
6,제6회 전국동시지방선거,2014-06-04,경상남도,의령군,경상남도 의령군,25981,20115,1108,5866,77.42
6,제6회 전국동시지방선거,2014-06-04,경상남도,진주시,경상남도 진주시,268027,165372,3269,102655,61.7
6,제6회 전국동시지방선거,2014-06-04,경상남도,창녕군,경상남도 창녕군,54614,33411,1146,21203,61.18
6,제6회 전국동시지방선거,2014-06-04,경상남도,창원시마산합포구,경상남도 창원시마산합포구,151800,87780,1569,64020,57.83
6,제6회 전국동시지방선거,2014-06-04,경상남도,창원시마산회원구,경상남도 창원시마산회원구,175918,102205,1579,73713,58.1
6,제6회 전국동시지방선거,2014-06-04,경상남도,창원시성산구,경상남도 창원시성산구,185723,111830,1644,73893,60.21
6,제6회 전국동시지방선거,2014-06-04,경상남도,창원시의창구,경상남도 창원시의창구,204523,114829,2113,89694,56.14
6,제6회 전국동시지방선거,2014-06-04,경상남도,창원시진해구,경상남도 창원시진해구,139286,77939,1476,61347,55.96
6,제6회 전국동시지방선거,2014-06-04,경상남도,통영시,경상남도 통영시,111561,67447,1731,44114,60.46
6,제6회 전국동시지방선거,2014-06-04,경상남도,하동군,경상남도 하동군,43174,33867,1704,9307,78.44
6,제6회 전국동시지방선거,2014-06-04,경상남도,함안군,경상남도 함안군,55705,37580,1244,18125,67.46
6,제6회 전국동시지방선거,2014-06-04,경상남도,함양군,경상남도 함양군,34540,26343,1085,8197,76.27
6,제6회 전국동시지방선거,2014-06-04,경상남도,합천군,경상남도 합천군,43908,33386,1699,10522,76.04
6,제6회 전국동시지방선거,2014-06-04,경상북도,경산시,경상북도 경산시,201690,103880,2294,97810,51.5
6,제6회 전국동시지방선거,2014-06-04,경상북도,경주시,경상북도 경주시,216922,126290,4455,90632,58.22
6,제6회 전국동시지방선거,2014-06-04,경상북도,고령군,경상북도 고령군,30145,18392,625,11753,61.01
6,제6회 전국동시지방선거,2014-06-04,경상북도,구미시,경상북도 구미시,321096,160254,4061,160842,49.91
6,제6회 전국동시지방선거,2014-06-04,경상북도,군위군,경상북도 군위군,22266,18042,931,4224,81.03
6,제6회 전국동시지방선거,2014-06-04,경상북도,김천시,경상북도 김천시,111552,70244,2788,41308,62.97
6,제6회 전국동시지방선거,2014-06-04,경상북도,문경시,경상북도 문경시,63805,45956,2081,17849,72.03
6,제6회 전국동시지방선거,2014-06-04,경상북도,봉화군,경상북도 봉화군,29759,22055,767,7704,74.11
